,Inns,Score,Opposition,FoW,MatchID,Prev1,Prev2,Prev3
54,1,9,England,2/109 (14.2)  ,/ci/engine/match/474478.html,55,94,22
55,1,7,England,2/9 (5.2)  ,/ci/engine/match/474479.html,9,55,94
56,1,16,England,2/70 (15.2)  ,/ci/engine/match/474480.html,7,9,55
57,1,107,England,2/57 (15.2)  ,/ci/engine/match/474481.html,16,7,9
58,1,37,England,2/52 (11.4)  ,/ci/engine/match/521218.html,107,16,7
59,2,112,England,2/29 (6.5)  ,/ci/engine/match/521219.html,37,107,16
60,2,35,England,2/190 (33.2)  ,/ci/engine/match/521220.html,112,37,107
61,2,86,England,2/21 (7.4)  ,/ci/engine/match/521221.html,35,112,37
62,1,0,England,1/80 (17.1)  ,/ci/engine/match/521222.html,86,35,112
63,2,3,West Indies,2/41 (4.4)  ,/ci/engine/match/536929.html,0,86,35
64,2,117,West Indies,2/29 (6.4)  ,/ci/engine/match/536930.html,3,0,86
65,2,20,West Indies,2/8 (1.2)  ,/ci/engine/match/536931.html,117,3,0
66,1,23,West Indies,4/376 (46.3)  ,/ci/engine/match/536932.html,20,117,3
67,1,80,West Indies,3/84 (18.6)  ,/ci/engine/match/536933.html,23,20,117
68,2,31,Australia,1/9 (1.5)  ,/ci/engine/match/518956.html,80,23,20
69,2,77,Sri Lanka,1/14 (2.3)  ,/ci/engine/match/518957.html,31,80,23
70,2,18,Australia,1/52 (9.1)  ,/ci/engine/match/518959.html,77,31,80
71,2,15,Sri Lanka,1/24 (5.6)  ,/ci/engine/match/518960.html,18,77,31
72,2,12,Australia,1/8 (1.3)  ,/ci/engine/match/518962.html,15,18,77
73,2,66,Sri Lanka,2/38 (7.5)  ,/ci/engine/match/518963.html,12,15,18
74,2,21,Australia,2/35 (6.6)  ,/ci/engine/match/518965.html,66,12,15
75,2,133,Sri Lanka,2/86 (9.2)  ,/ci/engine/match/518966.html,21,66,12
76,1,108,Sri Lanka,1/19 (5.3)  ,/ci/engine/match/535795.html,133,21,66
77,1,66,Bangladesh,1/25 (5.5)  ,/ci/engine/match/535797.html,108,133,21
78,2,183,Pakistan,1/0 (0.2)  ,/ci/engine/match/535798.html,66,108,133
79,1,106,Sri Lanka,1/7 (2.2)  ,/ci/engine/match/564781.html,183,66,108
80,1,1,Sri Lanka,1/31 (3.6)  ,/ci/engine/match/564782.html,106,183,66
81,2,38,Sri Lanka,1/8 (1.4)  ,/ci/engine/match/564783.html,1,106,183
82,2,128,Sri Lanka,1/0 (0.5)  ,/ci/engine/match/564784.html,38,1,106
83,1,23,Sri Lanka,1/29 (5.1)  ,/ci/engine/match/564785.html,128,38,1
84,1,0,Pakistan,1/17 (3.5)  ,/ci/engine/match/589308.html,23,128,38
85,2,6,Pakistan,1/42 (9.5)  ,/ci/engine/match/589309.html,0,23,128
86,1,7,Pakistan,1/19 (4.3)  ,/ci/engine/match/589310.html,6,0,23
87,2,15,England,1/96 (16.4)  ,/ci/engine/match/565812.html,7,6,0
88,1,37,England,1/18 (3.6)  ,/ci/engine/match/565813.html,15,7,6
89,2,77,England,1/11 (2.5)  ,/ci/engine/match/565814.html,37,15,7
90,2,26,England,1/20 (5.3)  ,/ci/engine/match/565815.html,77,37,15
91,1,0,England,1/13 (3.3)  ,/ci/engine/match/565816.html,26,77,37
92,1,31,South Africa,1/127 (21.2)  ,/ci/engine/match/578614.html,0,26,77
93,2,22,West Indies,1/101 (15.3)  ,/ci/engine/match/578619.html,31,0,26
94,2,22,Pakistan,1/58 (10.4)  ,/ci/engine/match/578623.html,22,31,0
95,2,58,Sri Lanka,1/77 (16.6)  ,/ci/engine/match/566947.html,22,22,31
96,1,43,England,1/19 (3.5)  ,/ci/engine/match/566948.html,58,22,22
97,1,11,West Indies,1/25 (4.2)  ,/ci/engine/match/597924.html,43,58,22
98,2,2,Sri Lanka,2/52 (14.3)  ,/ci/engine/match/597925.html,11,43,58
99,1,102,West Indies,1/123 (23.1)  ,/ci/engine/match/597926.html,2,11,43
100,1,31,Sri Lanka,1/27 (6.2)  ,/ci/engine/match/597928.html,102,2,11
101,2,2,Sri Lanka,1/23 (8.4)  ,/ci/engine/match/597929.html,31,102,2
102,2,115,Zimbabwe,1/26 (6.3)  ,/ci/engine/match/643665.html,2,31,102
103,1,14,Zimbabwe,1/2 (1.1)  ,/ci/engine/match/643667.html,115,2,31
104,2,68,Zimbabwe,1/27 (5.5)  ,/ci/engine/match/643669.html,14,115,2
